placeID,Rpayment
132854,VISA
135055,VISA
135071,VISA
135058,VISA
135106,VISA
135034,VISA
132958,VISA
135040,VISA
135046,VISA
135047,VISA
132733,VISA
135066,VISA
135050,VISA
135027,VISA
134983,VISA
135035,VISA
135048,VISA
135018,VISA
132583,VISA
132875,VISA
132767,VISA
135104,VISA
135053,VISA
135065,VISA
135074,VISA
132755,VISA
135033,VISA
135054,VISA
132723,VISA
135032,VISA
135057,VISA
135028,VISA
135081,VISA
135086,VISA
132706,VISA
135076,VISA
132861,VISA
135072,VISA
134992,VISA
135025,VISA
132862,VISA
134976,VISA
132955,VISA
134975,VISA
135080,VISA
135001,VISA
135064,VISA
135052,VISA
135045,VISA
132954,VISA
135073,VISA
132862,cash
135053,cash
135080,cash
132869,cash
132955,cash
134992,cash
132723,cash
132613,cash
132922,cash
132740,cash
132861,cash
135038,cash
135016,cash
135048,cash
135049,cash
132584,cash
135054,cash
132754,cash
135072,cash
132921,cash
135104,cash
135000,cash
135065,cash
132825,cash
135055,cash
132866,cash
132925,cash
132768,cash
135032,cash
132875,cash
135034,cash
135060,cash
135028,cash
135086,cash
135075,cash
132885,cash
132847,cash
135057,cash
135050,cash
134983,cash
135066,cash
135106,cash
135046,cash
135076,cash
132846,cash
132717,cash
132858,cash
135074,cash
132733,cash
135041,cash
135039,cash
132845,cash
135047,cash
135027,cash
132626,cash
132732,cash
135042,cash
135069,cash
132583,cash
135030,cash
132954,cash
135051,cash
135033,cash
132767,cash
132854,cash
132608,cash
132856,cash
132560,cash
135085,cash
132872,cash
135063,cash
135079,cash
135021,cash
135043,cash
132755,cash
135071,cash
132609,cash
135064,cash
135088,cash
132667,cash
135044,cash
135062,cash
132870,cash
135001,cash
135025,cash
135052,cash
135070,cash
132594,cash
132773,cash
135040,cash
135035,cash
134975,cash
135018,cash
132958,cash
135082,cash
132851,cash
134996,cash
132951,cash
132572,cash
132766,cash
135059,cash
135011,cash
135013,cash
135045,cash
132715,cash
135058,cash
132937,cash
135081,cash
135073,cash
132706,cash
135109,cash
134987,cash
132834,cash
134976,checks
134975,Discover
132955,Carte_Blanche
132958,American_Express
135071,American_Express
135076,American_Express
132862,American_Express
132875,American_Express
135055,American_Express
132861,American_Express
135045,American_Express
135028,American_Express
135033,American_Express
134976,American_Express
135050,American_Express
135080,American_Express
135065,American_Express
135053,American_Express
135072,American_Express
135027,American_Express
132755,American_Express
135035,American_Express
132626,American_Express
135079,American_Express
135057,American_Express
132767,American_Express
135001,American_Express
135048,American_Express
135025,American_Express
135034,American_Express
132958,bank_debit_cards
132768,bank_debit_cards
135018,bank_debit_cards
132583,bank_debit_cards
132862,bank_debit_cards
132872,bank_debit_cards
132955,bank_debit_cards
132733,bank_debit_cards
132861,bank_debit_cards
132755,bank_debit_cards
132954,bank_debit_cards
132854,bank_debit_cards
132875,bank_debit_cards
135073,MasterCard-Eurocard
135104,MasterCard-Eurocard
135065,MasterCard-Eurocard
135027,MasterCard-Eurocard
135074,MasterCard-Eurocard
135053,MasterCard-Eurocard
135050,MasterCard-Eurocard
135032,MasterCard-Eurocard
132861,MasterCard-Eurocard
135058,MasterCard-Eurocard
135035,MasterCard-Eurocard
135106,MasterCard-Eurocard
135055,MasterCard-Eurocard
135071,MasterCard-Eurocard
135080,MasterCard-Eurocard
135040,MasterCard-Eurocard
135033,MasterCard-Eurocard
135047,MasterCard-Eurocard
132954,MasterCard-Eurocard
135081,MasterCard-Eurocard
134992,MasterCard-Eurocard
135057,MasterCard-Eurocard
132733,MasterCard-Eurocard
135001,MasterCard-Eurocard
132583,MasterCard-Eurocard
135025,MasterCard-Eurocard
135046,MasterCard-Eurocard
134983,MasterCard-Eurocard
132955,MasterCard-Eurocard
135064,MasterCard-Eurocard
134976,MasterCard-Eurocard
135066,MasterCard-Eurocard
135028,MasterCard-Eurocard
134975,MasterCard-Eurocard
135086,MasterCard-Eurocard
132958,MasterCard-Eurocard
135048,MasterCard-Eurocard
132862,MasterCard-Eurocard
135052,MasterCard-Eurocard
132875,MasterCard-Eurocard
135018,MasterCard-Eurocard
135045,MasterCard-Eurocard
135054,MasterCard-Eurocard
135034,MasterCard-Eurocard
135076,MasterCard-Eurocard
135072,MasterCard-Eurocard